"tweet_timestamp"	"twitter_tweet_id"	"tweet_text"	"tweet_language"	"twitter_user_twitter_id"	"twitter_user_screenname"	"user_followers_count"	"user_favorites_count"	"user_created"	"user_location"	"tweet_retweet_count"	"tweet_place"	"tweet_user_mention_count"	"tweet_users_mentioned_screennames"	"tweet_users_mentioned_ids"	"tweet_hashtag_mention_count"	"tweet_hashtags_mentioned"	"tweet_url_count"	"tweet_shortened_urls_mentioned"	"tweet_full_urls_mentioned"	"user_description"	"user_friends_count"	"user_statuses_count"	"tweet_display_urls_mentioned"
"Sun Feb 08 20:15:19 +0000 2015"	"564517855593369600"	"The #CobbleStream with @ProSyndicate yesterday was CRAZY."	"en"	"2895066348"	"_meganmind_"	"4"	"1"	"Sun Nov 09 22:13:22 +0000 2014"	"I live at my house."	"0"		"1"	"ProSyndicate"	"204089551"	"1"	"CobbleStream"				"I love to sing, play games, and read books."	"12"	"90"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855568211969"	"Aplicaciones gratis para iPhone (8/02/2015): Ma&#241;ana es lunes, ese d&#237;a de la semana en el que todos nos cuesta ... http://t.co/krnlPT3SCa"	"es"	"1323997585"	"JHoNatAn_Boys"	"952"	"687"	"Wed Apr 03 06:29:52 +0000 2013"	"*-* Gualey City *-*"	"0"							"1"	"http%3A%2F%2Ft.co%2FkrnlPT3SCa"	"http%3A%2F%2Fbit.ly%2F1xRjqEC"	"MäMi Tê VôTê Pø PÙTä"	"375"	"136707"	"bit.ly%2F1xRjqEC"
"Sun Feb 08 20:15:19 +0000 2015"	"564517855585005568"	"&#12393;&#12435;&#12394;&#12395;&#23567;&#12373;&#12394;&#28814;&#12391;&#12418;&#24517;&#27515;&#12395;&#38899;&#12434;&#31435;&#12390;&#12390;&#29123;&#12360;&#23613;&#12365;&#12427;&#12414;&#12391;&#21483;&#12403;&#32154;&#12369;&#12427;&#12290;"	"ja"	"190730802"	"it_black_dragon"	"1257"	"0"	"Tue Sep 14 18:05:05 +0000 2010"	"魔界"	"0"										"俺は誰にも負けない。たとえ世界が相手だろうと。３時間事につぶやきます。レパートリーは１万個あります。"	"2000"	"12011"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855597584384"	"RT @Bigpapibeez: You a woman promoting child molestation RT: @optahoe: come home from school &amp; she naked in ur bed what do YOU do??? http:/&#8230;"	"en"	"896627563"	"trilluminatixox"	"517"	"22593"	"Mon Oct 22 03:01:32 +0000 2012"	""	"0"		"2"	"Bigpapibeez,optahoe"	"274137533,2576678666"						"limxossss"	"351"	"48599"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855560232962"	"RT @bourjois_uk: We want to add a little Luxe to your Friday! RT &amp; Follow us for a chance to win one of 3 Luxe sets! Good luck! x http://t.&#8230;"	"en"	"847459531"	"AnnMarieAdam1"	"173"	"14"	"Wed Sep 26 13:57:31 +0000 2012"	"Dundee"	"0"		"1"	"bourjois_uk"	"31379888"							"1999"	"5053"	
"Sun Feb 08 20:15:19 +0000 2015"	"564517855593791489"	"6 walls, 2 paintings, curtain, floor, ... #BuildWallsFloors #Decor #Objects #Sims4 http://t.co/SU1SNJ3pJy http://t.co/IAvXRpm9Fm"	"en"	"2715844322"	"Sims34Updates"	"278"	"0"	"Fri Aug 08 01:52:44 +0000 2014"	""	"0"					"4"	"BuildWallsFloors,Decor,Objects,Sims4"	"1"	"http%3A%2F%2Ft.co%2FSU1SNJ3pJy"	"http%3A%2F%2Fsims4updates.net%2Fbuild-mode%2F6-walls-2-paintings-curtain-floor-walltattoos-and-family-at-sims-marktplatz%2F"		"23"	"7573"	"sims4updates.net%2Fbuild-mode%2F6-w%E2%80%A6"
"Sun Feb 08 20:15:20 +0000 2015"	"564517859775512577"	"RT @Una_pizzita: Supongo que todo cambia.."	"es"	"89599717"	"MeDicenAlf_"	"7611"	"48670"	"Fri Nov 13 01:57:21 +0000 2009"	"Ocaña, Toledo. "	"0"		"1"	"Una_pizzita"	"533525787"						"Mi heterosexualidad la doné a obras de caridad. 18."	"4047"	"90350"	
"Sun Feb 08 20:15:20 +0000 2015"	"564517859758702592"	"RT @fedra_sexole: @kyemaxfire ooiig sos un cielo!!! &#128139;&#128516;"	"lv"	"1170180272"	"kyemaxfire"	"11"	"188"	"Mon Feb 11 22:16:56 +0000 2013"	""	"0"		"2"	"fedra_sexole,kyemaxfire"	"268867263,1170180272"							"164"	"895"	
"Sun Feb 08 20:15:20 +0000 2015"	"564517859775500291"	"Currently putting all my games on my RGH. Hopefully tonight I will add the downloadable content and title updates!"	"en"	"572042221"	"RSPxAndrew2007x"	"1353"	"6"	"Sat May 05 20:16:50 +0000 2012"	""	"0"										"Notorious for glitching and modding on video games, so check out my channel! A MPO/+ legend"	"32"	"4337"	
"Sun Feb 08 20:15:20 +0000 2015"	"564517859788075008"	"RT @LouisUniverses: RT if I havent added you in a solo dm with Harry yet!

I'm picking from the RTs &amp; add more people now! Turn on my notif&#8230;"	"en"	"1639043880"	"ummathilda"	"2866"	"10"	"Thu Aug 01 23:05:43 +0000 2013"	""	"0"		"1"	"LouisUniverses"	"583784183"						"Hi, im a 18 year old who strives to be a writer while studying in a dance focused programme."	"2610"	"88"	
